Title = Snapshot #29
Variables=X Y Z PartID
Zone I= 6394, F=POINT
5.756870e+00 -1.528036e+01 1.424418e+01 686
4.084710e+01 9.712095e-01 1.982117e+01 687
1.837221e+01 -5.689507e+00 2.738428e+01 688
-2.399216e+01 -1.307622e+01 2.120675e+01 691
-2.724204e+01 -6.443512e+00 8.715264e+00 697
-2.763857e+01 1.603815e+01 1.313708e+01 701
-2.212275e+01 -9.841019e+00 2.671586e+01 702
-1.476873e+01 1.692257e+01 2.518442e+01 704
4.511920e+01 2.180883e+01 1.072238e+01 723
3.202856e+01 1.559180e+01 1.966771e+01 724
1.617040e+01 1.265405e+01 1.118339e+01 729
-5.387758e+00 -8.087354e+00 2.493190e+01 731
-4.739726e+01 -2.117297e+01 7.562127e+00 739
-2.397812e+01 1.490331e+01 1.586361e+01 743
3.417128e+01 1.073444e+01 2.700366e+01 747
-4.947413e+00 -7.102192e+00 4.131816e+00 749
3.147375e+01 -1.195173e+01 1.066948e+01 752
2.056707e+01 1.087649e+01 2.785113e+01 754
-2.281891e+01 9.299467e-01 1.959658e+01 763
2.487050e+00 -1.187490e+01 3.430774e+00 776
-3.771459e+01 -2.452508e+01 5.343260e+00 782
3.553383e+01 -7.701204e+00 1.246253e+01 783
-1.753345e+01 6.942000e+00 7.359003e+00 791
-2.463836e+01 1.811015e+01 2.398976e+01 793
2.160085e+00 1.654642e+01 2.601519e+01 797
9.221805e+00 -3.989277e+00 2.660422e+01 814
1.453096e+01 -1.055086e+01 2.713993e+01 823
3.285620e+01 1.333386e+00 1.714157e+01 841
-4.393344e+01 -1.825613e+01 4.587945e+00 848
2.668519e+01 4.252023e+00 2.596156e+01 852
3.470199e+00 -6.555891e+00 4.692016e+00 853
1.311584e+01 6.695224e+00 1.124511e+01 860
1.709048e+01 -5.668849e+00 3.483937e+00 862
1.677246e+01 1.336634e+01 1.038511e-01 865
-1.189028e-01 1.243107e+01 1.548283e+01 871
-1.086324e+01 -1.986020e+01 1.823136e+01 879
8.224575e+00 -1.654518e+01 2.223679e+01 890
-3.540418e+01 2.149084e+01 4.244267e+00 891
-3.165153e+01 1.955281e+01 2.924254e+01 892
-3.031042e+01 1.122586e+01 1.943740e+01 893
-1.080882e+00 1.374056e+00 1.784905e+01 899
1.865406e+01 -2.324692e+01 1.577260e+01 901
4.034679e+01 5.477693e+00 1.251752e+00 903
-2.687028e+01 9.094232e+00 1.653872e+01 918
-3.655992e+01 -5.694367e+00 2.317595e+01 928
-9.698705e+00 2.438298e+01 2.541558e+01 939
-3.104867e+01 -1.134600e+01 1.216681e+01 961
-6.663223e+00 -7.134517e+00 2.982500e+01 971
-1.750736e+01 -5.726862e+00 2.929265e+01 973
1.747154e+01 -2.482285e+01 1.475970e+01 974
1.604704e+01 4.534212e-01 2.256500e+01 980
-4.384136e+00 -1.379237e+01 2.055332e+00 984
2.603020e+01 1.777941e+01 2.734755e+01 994
-3.283877e+01 -8.989123e+00 6.404553e+00 1000
8.328195e+00 9.492844e+00 2.967627e+01 1005
-3.122858e+01 9.322813e+00 2.270954e+01 1010
-1.342094e+01 1.310951e+01 2.806132e+01 1013
-3.763227e+01 6.291620e+00 2.604526e+01 1019
-1.289364e+00 -1.496081e+01 1.560636e+00 1024
-2.207666e+01 -9.896960e+00 2.425198e+01 1033
4.825050e+01 6.950792e+00 2.321308e+01 1046
1.086006e+01 2.227310e+01 9.126960e+00 1054
1.685522e+00 -7.645994e+00 2.717720e+01 1056
-3.569207e+01 2.353682e+01 4.045353e+00 1058
-4.752721e+01 3.064884e+00 4.581424e+00 1073
2.244971e+01 2.247693e+01 4.903595e+00 1091
2.492710e+01 1.954955e+01 5.536603e+00 1096
-9.228758e+00 -1.162998e+01 2.527394e+01 1100
3.582410e+00 1.078723e+01 9.577880e+00 1119
2.124974e+01 1.734532e+01 7.067294e+00 1133
-2.712307e+01 1.975805e+01 1.495181e+01 1137
1.828659e+01 1.190963e+01 3.373938e+00 1140
-3.121275e+01 -1.608518e+01 1.488628e+01 1147
1.744499e+01 1.573595e+01 1.415780e+01 1168
-4.663317e+01 -2.167625e+00 9.878281e+00 1174
-1.335002e+01 -2.400011e+01 6.219895e+00 1176
2.639198e+01 1.026793e+01 7.004253e+00 1183
-4.094135e+01 -2.183690e+01 1.031730e+01 1193
-2.578979e+01 -2.114791e+01 1.190175e+01 1196
-4.841097e+01 6.768296e-01 1.955207e+01 1198
4.595571e+01 5.026216e+00 2.262158e+01 1210
-4.653953e+01 1.524940e+01 2.301901e+01 1222
4.449108e+00 1.797317e+01 3.942568e+00 1226
-1.417498e+01 1.444194e+01 2.015866e+01 1230
-4.377567e+01 -1.664863e+01 1.399581e+00 1232
2.685026e+01 1.289773e+00 6.029284e+00 1238
4.625552e+01 -3.123832e+00 1.186904e+01 1242
-4.185177e+00 -1.076121e+01 2.492520e+00 1250
4.914052e+01 -1.428536e+01 1.301408e+01 1252
-1.415966e+00 1.599275e+01 9.173582e-01 1260
3.598920e+01 5.367120e+00 2.446441e+01 1273
-2.758610e+01 -5.833128e+00 1.272580e+00 1278
2.624505e+01 -9.521894e+00 1.773968e+00 1284
-1.515660e+01 4.637158e+00 2.488606e+01 1286
3.155859e+01 9.753072e+00 1.453585e+00 1292
-1.929135e+00 -4.742544e-01 2.841427e+01 1312
-2.037999e+00 -5.292800e+00 2.060530e+01 1323
-1.872343e+01 -2.309308e+01 2.415502e+01 1326
-2.147871e+01 -2.178837e+01 2.367462e+01 1332
2.987122e+01 -2.074075e+01 2.461531e+01 1333
-4.540048e+01 -7.325052e-02 1.824834e+01 1334
2.111966e+01 -1.864034e+01 1.514658e+01 1337
-1.860620e+01 4.009236e+00 3.927066e+00 1340
-5.555881e+00 -1.459115e+01 2.796601e+01 1342
7.774998e-01 5.073328e+00 2.011753e+01 1346
2.511398e+01 1.682440e+01 1.613146e+01 1350
1.093537e+01 -5.737988e+00 2.684331e+01 1351
3.681366e+01 8.780205e-01 1.850325e+01 1352
-5.030248e+00 -4.754652e+00 1.235129e+01 1356
8.211359e+00 -6.256492e+00 1.472119e+01 1362
-4.406070e+01 5.424358e+00 1.548680e+01 1374
3.392312e+01 7.978450e+00 1.257143e+01 1375
3.288240e+01 1.038770e+01 1.438799e+01 1382
1.829670e+01 -2.542101e+00 2.030032e+01 1385
-5.611370e-03 -2.380484e+01 1.559770e+01 1395
1.566464e+01 1.235865e+01 1.364332e+01 1415
1.270203e+01 -1.849002e+01 1.936773e+01 1420
-7.150800e+00 1.973026e+01 6.457484e+00 1421
1.988451e+01 -1.786629e+01 1.996097e+01 1423
1.962446e+01 -1.170202e+01 8.668552e+00 1442
-4.951232e+01 2.299121e+01 1.798207e+01 1445
4.985287e+01 -4.913730e+00 1.059532e+00 1446
8.844084e+00 2.142280e-02 1.779252e+01 1451
9.791245e+00 7.813848e+00 1.340545e+01 1455
3.601411e+01 -9.161766e+00 1.559656e+00 1460
1.124654e+01 -1.632230e+01 1.845483e+01 1470
-2.046639e+01 -4.054609e+00 5.981061e+00 1471
-2.828054e+01 -9.200550e+00 2.249504e+01 1472
3.750971e+01 -8.975977e+00 1.397962e+01 1474
-3.150471e-01 -1.388912e+01 1.469389e+01 1478
-4.233795e+01 1.738500e+01 2.220743e+01 1479
-1.650230e+01 -1.122957e+01 1.222575e+01 1493
2.757674e+01 -1.568800e+01 1.196309e+01 1496
-3.722479e+01 1.290062e+01 1.524534e+01 1502
1.857736e+01 1.803353e+01 1.692715e+01 1514
-3.148018e-01 -1.174156e+01 2.787435e+01 1516
3.703755e+01 -2.993530e+00 8.233375e-02 1517
-2.816837e+00 2.127314e+01 2.031483e+01 1518
-1.247145e+01 -1.928818e+01 7.540568e+00 1523
4.632049e+01 -1.834163e+01 2.817161e+01 1531
-4.941242e+01 -9.591668e+00 1.473284e+01 1543
